idx,k_n,k_c,sN,sA,sAA,bP,bQ,bA,score
219,5,39,3.0,0.1,6,3.0,0.2,2.2,0.0
220,5,39,3.0,0.1,6,3.0,0.2,2.3,0.0
221,5,39,3.0,0.1,6,3.0,0.0,2.0,0.00503398125
222,5,39,3.0,0.1,6,3.0,0.0,2.1,0.006263299999999999
223,5,39,3.0,0.1,6,3.0,0.0,2.2,0.0073509249999999995
224,5,39,3.0,0.1,6,3.0,0.0,2.3,0.006681706249999999
225,5,39,3.0,0.1,7,2.5,0.2,2.0,0.00024384374999999997
226,5,39,3.0,0.1,7,2.5,0.2,2.1,0.0002575906249999999
227,5,39,3.0,0.1,7,2.5,0.2,2.2,0.000267125
228,5,39,3.0,0.1,7,2.5,0.2,2.3,0.0
229,5,39,3.0,0.1,7,2.5,0.0,2.0,0.0
230,5,39,3.0,0.1,7,2.5,0.0,2.1,0.000289684375
231,5,39,3.0,0.1,7,2.5,0.0,2.2,0.0
232,5,39,3.0,0.1,7,2.5,0.0,2.3,0.0003331031249999999
233,5,39,3.0,0.1,7,3.0,0.2,2.0,0.0
234,5,39,3.0,0.1,7,3.0,0.2,2.1,0.0
235,5,39,3.0,0.1,7,3.0,0.2,2.2,0.0
236,5,39,3.0,0.1,7,3.0,0.2,2.3,0.0003381374999999999
237,5,39,3.0,0.1,7,3.0,0.0,2.0,0.005371040625
238,5,39,3.0,0.1,7,3.0,0.0,2.1,0.00622405625
239,5,39,3.0,0.1,7,3.0,0.0,2.2,0.0060028937500000035
240,5,39,3.0,0.1,7,3.0,0.0,2.3,0.005693018750000002
241,5,39,3.2,0.1,5,2.5,0.2,2.0,0.0
242,5,39,3.2,0.1,5,2.5,0.2,2.1,0.0
243,5,39,3.2,0.1,5,2.5,0.2,2.2,0.0
244,5,39,3.2,0.1,5,2.5,0.2,2.3,0.0
245,5,39,3.2,0.1,5,2.5,0.0,2.0,0.0
246,5,39,3.2,0.1,5,2.5,0.0,2.1,0.0
247,5,39,3.2,0.1,5,2.5,0.0,2.2,0.0
248,5,39,3.2,0.1,5,2.5,0.0,2.3,0.0
249,5,39,3.2,0.1,5,3.0,0.2,2.0,0.0
250,5,39,3.2,0.1,5,3.0,0.2,2.1,0.0
251,5,39,3.2,0.1,5,3.0,0.2,2.2,0.0
252,5,39,3.2,0.1,5,3.0,0.2,2.3,0.0
253,5,39,3.2,0.1,5,3.0,0.0,2.0,0.0
254,5,39,3.2,0.1,5,3.0,0.0,2.1,0.0
255,5,39,3.2,0.1,5,3.0,0.0,2.2,0.0
256,5,39,3.2,0.1,5,3.0,0.0,2.3,0.0
257,5,39,3.2,0.1,6,2.5,0.2,2.0,0.0
258,5,39,3.2,0.1,6,2.5,0.2,2.1,0.0
259,5,39,3.2,0.1,6,2.5,0.2,2.2,0.0
260,5,39,3.2,0.1,6,2.5,0.2,2.3,0.0
261,5,39,3.2,0.1,6,2.5,0.0,2.0,0.0
262,5,39,3.2,0.1,6,2.5,0.0,2.1,0.00037423437499999984
263,5,39,3.2,0.1,6,2.5,0.0,2.2,0.0002599687499999999
264,5,39,3.2,0.1,6,2.5,0.0,2.3,0.0
265,5,39,3.2,0.1,6,3.0,0.2,2.0,0.0002488093749999999
266,5,39,3.2,0.1,6,3.0,0.2,2.1,0.00023909062499999988
267,5,39,3.2,0.1,6,3.0,0.2,2.2,0.0
268,5,39,3.2,0.1,6,3.0,0.2,2.3,0.0
269,5,39,3.2,0.1,6,3.0,0.0,2.0,0.0
270,5,39,3.2,0.1,6,3.0,0.0,2.1,0.0
271,5,39,3.2,0.1,6,3.0,0.0,2.2,0.0003465718749999999
272,5,39,3.2,0.1,6,3.0,0.0,2.3,0.0
273,5,39,3.2,0.1,7,2.5,0.2,2.0,0.0003102187499999999
274,5,39,3.2,0.1,7,2.5,0.2,2.1,0.0003214874999999999
275,5,39,3.2,0.1,7,2.5,0.2,2.2,0.0002959656249999999
276,5,39,3.2,0.1,7,2.5,0.2,2.3,0.0
277,5,39,3.2,0.1,7,2.5,0.0,2.0,0.00026077812499999996
278,5,39,3.2,0.1,7,2.5,0.0,2.1,0.0
279,5,39,3.2,0.1,7,2.5,0.0,2.2,0.0
280,5,39,3.2,0.1,7,2.5,0.0,2.3,0.0
281,5,39,3.2,0.1,7,3.0,0.2,2.0,0.00031210625
282,5,39,3.2,0.1,7,3.0,0.2,2.1,0.00034031875
283,5,39,3.2,0.1,7,3.0,0.2,2.2,0.0003155468749999999
284,5,39,3.2,0.1,7,3.0,0.2,2.3,0.0
285,5,39,3.2,0.1,7,3.0,0.0,2.0,0.0002600968749999999
286,5,39,3.2,0.1,7,3.0,0.0,2.1,0.0002606031249999999
287,5,39,3.2,0.1,7,3.0,0.0,2.2,0.0
288,5,39,3.2,0.1,7,3.0,0.0,2.3,0.0
289,5,40,2.8,0.1,5,2.5,0.2,2.0,0.0007496156249999998
290,5,40,2.8,0.1,5,2.5,0.2,2.1,0.0
291,5,40,2.8,0.1,5,2.5,0.2,2.2,0.0
292,5,40,2.8,0.1,5,2.5,0.2,2.3,0.0
293,5,40,2.8,0.1,5,2.5,0.0,2.0,0.0
294,5,40,2.8,0.1,5,2.5,0.0,2.1,0.0
295,5,40,2.8,0.1,5,2.5,0.0,2.2,0.0
296,5,40,2.8,0.1,5,2.5,0.0,2.3,0.0
297,5,40,2.8,0.1,5,3.0,0.2,2.0,0.008114184375000002
298,5,40,2.8,0.1,5,3.0,0.2,2.1,0.008987046875
299,5,40,2.8,0.1,5,3.0,0.2,2.2,0.008678484375
300,5,40,2.8,0.1,5,3.0,0.2,2.3,0.009516200000000002
301,5,40,2.8,0.1,5,3.0,0.0,2.0,0.007172340624999997
302,5,40,2.8,0.1,5,3.0,0.0,2.1,0.008211834374999998
303,5,40,2.8,0.1,5,3.0,0.0,2.2,0.008985103124999998
304,5,40,2.8,0.1,5,3.0,0.0,2.3,0.009288362500000001
305,5,40,2.8,0.1,6,2.5,0.2,2.0,0.00033517812499999993
306,5,40,2.8,0.1,6,2.5,0.2,2.1,0.0003353249999999999
307,5,40,2.8,0.1,6,2.5,0.2,2.2,0.00027202499999999996
308,5,40,2.8,0.1,6,2.5,0.2,2.3,0.0
309,5,40,2.8,0.1,6,2.5,0.0,2.0,0.00026776562499999994
310,5,40,2.8,0.1,6,2.5,0.0,2.1,0.0
311,5,40,2.8,0.1,6,2.5,0.0,2.2,0.000410671875
312,5,40,2.8,0.1,6,2.5,0.0,2.3,0.00030710937499999993
313,5,40,2.8,0.1,6,3.0,0.2,2.0,0.005169775
314,5,40,2.8,0.1,6,3.0,0.2,2.1,0.006541425000000002
315,5,40,2.8,0.1,6,3.0,0.2,2.2,0.006900625000000006
316,5,40,2.8,0.1,6,3.0,0.2,2.3,0.006723224999999999
317,5,40,2.8,0.1,6,3.0,0.0,2.0,0.005429212499999997
318,5,40,2.8,0.1,6,3.0,0.0,2.1,0.005972515624999997
319,5,40,2.8,0.1,6,3.0,0.0,2.2,0.006354818749999994
320,5,40,2.8,0.1,6,3.0,0.0,2.3,0.006822149999999999
321,5,40,2.8,0.1,7,2.5,0.2,2.0,0.0003153718749999999
